rank,word,frequency,cum_pct,region
1,的,0.06170000,6.1700,R1
2,是,0.01480000,7.6500,R1
3,在,0.01450000,9.1000,R1
4,了,0.01380000,10.4800,R1
5,我,0.00891000,11.3710,R1
6,和,0.00724000,12.0950,R1
7,有,0.00676000,12.7710,R1
8,不,0.00575000,13.3460,R1
9,人,0.00550000,13.8960,R1
10,也,0.00501000,14.3970,R1
11,你,0.00501000,14.8980,R1
12,为,0.00490000,15.3880,R1
13,他,0.00479000,15.8670,R1
14,这,0.00479000,16.3460,R1
15,中,0.00447000,16.7930,R1
16,与,0.00437000,17.2300,R1
17,年,0.00437000,17.6670,R1
18,对,0.00427000,18.0940,R1
19,就,0.00398000,18.4920,R1
20,都,0.00389000,18.8810,R1
21,一个,0.00363000,19.2440,R1
22,上,0.00355000,19.5990,R1
23,说,0.00355000,19.9540,R1
24,吗,0.00339000,20.2930,R1
25,我们,0.00339000,20.6320,R1
26,会,0.00302000,20.9340,R1
27,到,0.00302000,21.2360,R1
28,要,0.00288000,21.5240,R1
29,来,0.00282000,21.8060,R1
30,中国,0.00275000,22.0810,R1
31,月,0.00275000,22.3560,R1
32,被,0.00263000,22.6190,R1
33,他们,0.00251000,22.8700,R1
34,没有,0.00240000,23.1100,R1
35,还,0.00240000,23.3500,R1
36,而,0.00229000,23.5790,R1
37,个,0.00224000,23.8030,R1
38,可以,0.00219000,24.0220,R1
39,后,0.00214000,24.2360,R1
40,等,0.00214000,24.4500,R1
41,但,0.00209000,24.6590,R1
42,于,0.00204000,24.8630,R1
43,什么,0.00200000,25.0630,R1
44,日,0.00200000,25.2630,R1
45,这个,0.00200000,25.4630,R1
46,将,0.00195000,25.6580,R1
47,并,0.00195000,25.8530,R1
48,能,0.00195000,26.0480,R1
49,一,0.00186000,26.2340,R1
50,很,0.00186000,26.4200,R1
51,让,0.00182000,26.6020,R1
52,从,0.00178000,26.7800,R1
53,国家,0.00178000,26.9580,R1
54,以,0.00174000,27.1320,R1
55,好,0.00174000,27.3060,R1
56,大,0.00170000,27.4760,R1
57,她,0.00170000,27.6460,R1
58,着,0.00166000,27.8120,R1
59,多,0.00162000,27.9740,R1
60,自己,0.00158000,28.1320,R1
61,问题,0.00155000,28.2870,R1
62,时,0.00151000,28.4380,R1
63,给,0.00151000,28.5890,R1
64,把,0.00148000,28.7370,R1
65,去,0.00145000,28.8820,R1
66,看,0.00145000,29.0270,R1
67,又,0.00138000,29.1650,R1
68,美国,0.00138000,29.3030,R1
69,或,0.00132000,29.4350,R1
70,因为,0.00129000,29.5640,R1
71,下,0.00126000,29.6900,R1
72,不是,0.00126000,29.8160,R1
73,之,0.00126000,29.9420,R1
74,现在,0.00126000,30.0680,R1
75,过,0.00126000,30.1940,R1
76,新,0.00123000,30.3170,R1
77,里,0.00123000,30.4400,R1
78,做,0.00120000,30.5600,R1
79,及,0.00120000,30.6800,R1
80,地,0.00120000,30.8000,R1
81,由,0.00120000,30.9200,R1
82,3,0.00117000,31.0370,R1
83,怎么,0.00117000,31.1540,R1
84,没,0.00117000,31.2710,R1
85,用,0.00117000,31.3880,R1
86,就是,0.00115000,31.5030,R1
87,已经,0.00115000,31.6180,R1
88,更,0.00115000,31.7330,R1
89,这些,0.00112000,31.8450,R1
90,1,0.00110000,31.9550,R1
91,得,0.00110000,32.0650,R1
92,所,0.00110000,32.1750,R1
93,发展,0.00107000,32.2820,R1
94,开始,0.00107000,32.3890,R1
95,想,0.00107000,32.4960,R1
96,最,0.00107000,32.6030,R1
97,这样,0.00107000,32.7100,R1
98,公司,0.00105000,32.8150,R1
99,它,0.00105000,32.9200,R1
100,政府,0.00105000,33.0250,R1
101,可能,0.00102000,33.1270,R1
102,那,0.00102000,33.2290,R1
103,2,0.00100000,33.3290,R1
104,工作,0.00097700,33.4267,R1
105,社会,0.00097700,33.5244,R1
106,三,0.00095500,33.6199,R1
107,可,0.00095500,33.7154,R1
108,吧,0.00095500,33.8109,R1
109,如果,0.00093300,33.9042,R1
110,知道,0.00093300,33.9975,R1
111,进行,0.00093300,34.0908,R1
112,世界,0.00091200,34.1820,R1
113,其,0.00091200,34.2732,R1
114,日本,0.00091200,34.3644,R1
115,该,0.00091200,34.4556,R1
116,5,0.00089100,34.5447,R1
117,不能,0.00087100,34.6318,R1
118,只,0.00087100,34.7189,R1
119,向,0.00087100,34.8060,R1
120,计划,0.00087100,34.8931,R1
121,前,0.00085100,34.9782,R1
122,成为,0.00085100,35.0633,R1
123,时间,0.00085100,35.1484,R1
124,认为,0.00085100,35.2335,R1
125,需要,0.00085100,35.3186,R1
126,出,0.00083200,35.4018,R1
127,啊,0.00083200,35.4850,R1
128,已,0.00083200,35.5682,R1
129,再,0.00077600,35.6458,R1
130,国际,0.00077600,35.7234,R1
131,地区,0.00077600,35.8010,R1
132,小,0.00077600,35.8786,R1
133,当,0.00077600,35.9562,R1
134,时候,0.00077600,36.0338,R1
135,们,0.00075900,36.1097,R1
136,内,0.00075900,36.1856,R1
137,却,0.00075900,36.2615,R1
138,使用,0.00074100,36.3356,R1
139,才,0.00074100,36.4097,R1
140,经济,0.00074100,36.4838,R1
141,活动,0.00072400,36.5562,R1
142,爱,0.00072400,36.6286,R1
143,但是,0.00070800,36.6994,R1
144,历史,0.00070800,36.7702,R1
145,应该,0.00070800,36.8410,R1
146,政治,0.00070800,36.9118,R1
147,第,0.00070800,36.9826,R1
148,谁,0.00070800,37.0534,R1
149,4,0.00069200,37.1226,R1
150,不会,0.00069200,37.1918,R1
151,以及,0.00069200,37.2610,R1
152,情况,0.00069200,37.3302,R1
153,真的,0.00069200,37.3994,R1
154,组织,0.00069200,37.4686,R1
155,8,0.00067600,37.5362,R1
156,人民,0.00067600,37.6038,R1
157,其他,0.00067600,37.6714,R1
158,发生,0.00067600,37.7390,R1
159,主要,0.00066100,37.8051,R1
160,号,0.00066100,37.8712,R1
161,地方,0.00066100,37.9373,R1
162,网站,0.00066100,38.0034,R1
163,香港,0.00066100,38.0695,R1
164,生活,0.00064600,38.1341,R1
165,这种,0.00064600,38.1987,R1
166,你们,0.00063100,38.2618,R1
167,通过,0.00063100,38.3249,R1
168,为了,0.00061700,38.3866,R1
169,事,0.00061700,38.4483,R1
170,同时,0.00061700,38.5100,R1
171,必须,0.00061700,38.5717,R1
172,快,0.00061700,38.6334,R1
173,所以,0.00060300,38.6937,R1
174,所有,0.00060300,38.7540,R1
175,比,0.00060300,38.8143,R1
176,跟,0.00060300,38.8746,R1
177,包括,0.00058900,38.9335,R1
178,发现,0.00058900,38.9924,R1
179,请,0.00058900,39.0513,R1
180,还有,0.00058900,39.1102,R1
181,长,0.00058900,39.1691,R1
182,一些,0.00057500,39.2266,R1
183,为什么,0.00057500,39.2841,R1
184,全国,0.00057500,39.3416,R1
185,决定,0.00057500,39.3991,R1
186,出现,0.00057500,39.4566,R1
187,呢,0.00057500,39.5141,R1
188,如何,0.00057500,39.5716,R1
189,还是,0.00057500,39.6291,R1
190,a,0.00056200,39.6853,R1
191,一样,0.00056200,39.7415,R1
192,企业,0.00056200,39.7977,R1
193,其中,0.00056200,39.8539,R1
194,北京,0.00056200,39.9101,R1
195,觉得,0.00056200,39.9663,R1
196,重要,0.00056200,40.0225,R1
197,高,0.00056200,40.0787,R1
198,6,0.00055000,40.1337,R1
199,影响,0.00055000,40.1887,R1
200,the,0.00053700,40.2424,R1
201,则,0.00053700,40.2961,R1
202,喜欢,0.00053700,40.3498,R1
203,文化,0.00053700,40.4035,R1
204,起来,0.00053700,40.4572,R1
205,不过,0.00052500,40.5097,R1
206,作为,0.00052500,40.5622,R1
207,学生,0.00052500,40.6147,R1
208,希望,0.00052500,40.6672,R1
209,技术,0.00052500,40.7197,R1
210,提供,0.00052500,40.7722,R1
211,至,0.00052500,40.8247,R1
212,要求,0.00052500,40.8772,R1
213,那么,0.00052500,40.9297,R1
214,钱,0.00052500,40.9822,R1
215,7,0.00051300,41.0335,R1
216,一定,0.00051300,41.0848,R1
217,不同,0.00051300,41.1361,R1
218,电影,0.00051300,41.1874,R1
219,万,0.00050100,41.2375,R1
220,不要,0.00050100,41.2876,R1
221,使,0.00050100,41.3377,R1
222,像,0.00050100,41.3878,R1
223,点,0.00050100,41.4379,R1
224,关系,0.00049000,41.4869,R1
225,只是,0.00049000,41.5359,R1
226,听,0.00049000,41.5849,R1
227,研究,0.00049000,41.6339,R1
228,这么,0.00049000,41.6829,R1
229,出来,0.00047900,41.7308,R1
230,根据,0.00047900,41.7787,R1
231,此,0.00047900,41.8266,R1
232,系统,0.00047900,41.8745,R1
233,起,0.00047900,41.9224,R1
234,两,0.00046800,41.9692,R1
235,任何,0.00046800,42.0160,R1
236,只有,0.00046800,42.0628,R1
237,服务,0.00046800,42.1096,R1
238,结果,0.00046800,42.1564,R1
239,自,0.00046800,42.2032,R1
240,这里,0.00046800,42.2500,R1
241,一起,0.00045700,42.2957,R1
242,因此,0.00045700,42.3414,R1
243,国,0.00045700,42.3871,R1
244,如,0.00045700,42.4328,R1
245,带,0.00045700,42.4785,R1
246,游戏,0.00045700,42.5242,R1
247,看到,0.00045700,42.5699,R1
248,虽然,0.00045700,42.6156,R1
249,走,0.00045700,42.6613,R1
250,9,0.00044700,42.7060,R1
251,中心,0.00044700,42.7507,R1
252,人们,0.00044700,42.7954,R1
253,今天,0.00044700,42.8401,R1
254,代表,0.00044700,42.8848,R1
255,吃,0.00044700,42.9295,R1
256,岁,0.00044700,42.9742,R1
257,支持,0.00044700,43.0189,R1
258,无,0.00044700,43.0636,R1
259,而且,0.00044700,43.1083,R1
260,话,0.00044700,43.1530,R1
261,较,0.00044700,43.1977,R1
262,一直,0.00043700,43.2414,R1
263,么,0.00043700,43.2851,R1
264,区,0.00043700,43.3288,R1
265,城市,0.00043700,43.3725,R1
266,太,0.00043700,43.4162,R1
267,家,0.00043700,43.4599,R1
268,市场,0.00043700,43.5036,R1
269,最后,0.00043700,43.5473,R1
270,约,0.00043700,43.5910,R1
271,继续,0.00043700,43.6347,R1
272,者,0.00043700,43.6784,R1
273,东西,0.00042700,43.7211,R1
274,之后,0.00042700,43.7638,R1
275,内容,0.00042700,43.8065,R1
276,对于,0.00042700,43.8492,R1
277,开,0.00042700,43.8919,R1
278,教育,0.00042700,43.9346,R1
279,特别,0.00042700,43.9773,R1
280,由于,0.00042700,44.0200,R1
281,获得,0.00042700,44.0627,R1
282,许多,0.00042700,44.1054,R1
283,问,0.00042700,44.1481,R1
284,两个,0.00041700,44.1898,R1
285,大学,0.00041700,44.2315,R1
286,学校,0.00041700,44.2732,R1
287,方式,0.00041700,44.3149,R1
288,朋友,0.00041700,44.3566,R1
289,目前,0.00041700,44.3983,R1
290,站,0.00041700,44.4400,R1
291,表示,0.00041700,44.4817,R1
292,资料,0.00041700,44.5234,R1
293,这是,0.00041700,44.5651,R1
294,一种,0.00040700,44.6058,R1
295,元,0.00040700,44.6465,R1
296,关于,0.00040700,44.6872,R1
297,写,0.00040700,44.7279,R1
298,因,0.00040700,44.7686,R1
299,孩子,0.00040700,44.8093,R1
300,安全,0.00040700,44.8500,R1
301,成,0.00040700,44.8907,R1
302,大家,0.00039800,44.9305,R1
303,打,0.00039800,44.9703,R1
304,运动,0.00039800,45.0101,R1
305,部分,0.00039800,45.0499,R1
306,分,0.00038900,45.0888,R1
307,很多,0.00038900,45.1277,R1
308,死,0.00038900,45.1666,R1
309,见,0.00038900,45.2055,R1
310,非常,0.00038900,45.2444,R1
311,买,0.00038000,45.2824,R1
312,叫,0.00038000,45.3204,R1
313,台湾,0.00038000,45.3584,R1
314,图,0.00038000,45.3964,R1
315,建设,0.00038000,45.4344,R1
316,新闻,0.00038000,45.4724,R1
317,曾,0.00038000,45.5104,R1
318,有人,0.00038000,45.5484,R1
319,自由,0.00038000,45.5864,R1
320,参加,0.00037200,45.6236,R1
321,当时,0.00037200,45.6608,R1
322,过去,0.00037200,45.6980,R1
323,那些,0.00037200,45.7352,R1
324,产品,0.00036300,45.7715,R1
325,会议,0.00036300,45.8078,R1
326,单位,0.00036300,45.8441,R1
327,即,0.00036300,45.8804,R1
328,完全,0.00036300,45.9167,R1
329,建立,0.00036300,45.9530,R1
330,得到,0.00036300,45.9893,R1
331,有关,0.00036300,46.0256,R1
332,生产,0.00036300,46.0619,R1
333,相关,0.00036300,46.0982,R1
334,道,0.00036300,46.1345,R1
335,国内,0.00035500,46.1700,R1
336,天,0.00035500,46.2055,R1
337,委员会,0.00035500,46.2410,R1
338,总,0.00035500,46.2765,R1
339,然后,0.00035500,46.3120,R1
340,选择,0.00035500,46.3475,R1
341,那个,0.00035500,46.3830,R1
342,一切,0.00034700,46.4177,R1
343,一次,0.00034700,46.4524,R1
344,人口,0.00034700,46.4871,R1
345,另,0.00034700,46.5218,R1
346,应,0.00034700,46.5565,R1
347,无法,0.00034700,46.5912,R1
348,正,0.00034700,46.6259,R1
349,管理,0.00034700,46.6606,R1
350,能够,0.00034700,46.6953,R1
351,记者,0.00034700,46.7300,R1
352,进入,0.00034700,46.7647,R1
353,领导,0.00034700,46.7994,R1
354,s,0.00033900,46.8333,R1
355,上海,0.00033900,46.8672,R1
356,个人,0.00033900,46.9011,R1
357,便,0.00033900,46.9350,R1
358,党,0.00033900,46.9689,R1
359,间,0.00033900,47.0028,R1
360,一般,0.00033100,47.0359,R1
361,发,0.00033100,47.0690,R1
362,名,0.00033100,47.1021,R1
363,完成,0.00033100,47.1352,R1
364,干,0.00033100,47.1683,R1
365,本,0.00033100,47.2014,R1
366,环境,0.00033100,47.2345,R1
367,网络,0.00033100,47.2676,R1
368,达,0.00033100,47.3007,R1
369,一点,0.00032400,47.3331,R1
370,保护,0.00032400,47.3655,R1
371,找,0.00032400,47.3979,R1
372,提出,0.00032400,47.4303,R1
373,民主,0.00032400,47.4627,R1
374,甚至,0.00032400,47.4951,R1
375,称,0.00032400,47.5275,R1
376,事件,0.00031600,47.5591,R1
377,当然,0.00031600,47.5907,R1
378,您,0.00031600,47.6223,R1
379,机构,0.00031600,47.6539,R1
380,法律,0.00031600,47.6855,R1
381,玩,0.00031600,47.7171,R1
382,视频,0.00031600,47.7487,R1
383,过程,0.00031600,47.7803,R1
384,准备,0.00030900,47.8112,R1
385,县,0.00030900,47.8421,R1
386,受,0.00030900,47.8730,R1
387,直接,0.00030900,47.9039,R1
388,真,0.00030900,47.9348,R1
389,设计,0.00030900,47.9657,R1
390,进,0.00030900,47.9966,R1
391,之间,0.00030200,48.0268,R1
392,事情,0.00030200,48.0570,R1
393,人员,0.00030200,48.0872,R1
394,信息,0.00030200,48.1174,R1
395,哪里,0.00030200,48.1476,R1
396,处,0.00030200,48.1778,R1
397,女,0.00030200,48.2080,R1
398,存在,0.00030200,48.2382,R1
399,学习,0.00030200,48.2684,R1
400,总统,0.00030200,48.2986,R1
401,成功,0.00030200,48.3288,R1
402,或者,0.00030200,48.3590,R1
403,战争,0.00030200,48.3892,R1
404,报告,0.00030200,48.4194,R1
405,最大,0.00030200,48.4496,R1
406,每,0.00030200,48.4798,R1
407,比较,0.00030200,48.5100,R1
408,照片,0.00030200,48.5402,R1
409,种,0.00030200,48.5704,R1
410,英国,0.00030200,48.6006,R1
411,各,0.00029500,48.6301,R1
412,市,0.00029500,48.6596,R1
413,接受,0.00029500,48.6891,R1
414,改变,0.00029500,48.7186,R1
415,政策,0.00029500,48.7481,R1
416,方法,0.00029500,48.7776,R1
417,时期,0.00029500,48.8071,R1
418,正在,0.00029500,48.8366,R1
419,科技,0.00029500,48.8661,R1
420,项目,0.00029500,48.8956,R1
421,一下,0.00028800,48.9244,R1
422,不断,0.00028800,48.9532,R1
423,以后,0.00028800,48.9820,R1
424,位,0.00028800,49.0108,R1
425,作,0.00028800,49.0396,R1
426,合作,0.00028800,49.0684,R1
427,故事,0.00028800,49.0972,R1
428,方面,0.00028800,49.1260,R1
429,有些,0.00028800,49.1548,R1
430,未,0.00028800,49.1836,R1
431,次,0.00028800,49.2124,R1
432,省,0.00028800,49.2412,R1
433,网,0.00028800,49.2700,R1
434,老,0.00028800,49.2988,R2
435,认识,0.00028800,49.3276,R2
436,资源,0.00028800,49.3564,R2
437,集团,0.00028800,49.3852,R2
438,专业,0.00028200,49.4134,R2
439,之前,0.00028200,49.4416,R2
440,任务,0.00028200,49.4698,R2
441,原因,0.00028200,49.4980,R2
442,参与,0.00028200,49.5262,R2
443,外,0.00028200,49.5544,R2
444,女人,0.00028200,49.5826,R2
445,小时,0.00028200,49.6108,R2
446,成立,0.00028200,49.6390,R2
447,是否,0.00028200,49.6672,R2
448,科学,0.00028200,49.6954,R2
449,经,0.00028200,49.7236,R2
450,规定,0.00028200,49.7518,R2
451,举行,0.00027500,49.7793,R2
452,了解,0.00027500,49.8068,R2
453,副,0.00027500,49.8343,R2
454,处理,0.00027500,49.8618,R2
455,多少,0.00027500,49.8893,R2
456,感觉,0.00027500,49.9168,R2
457,拥有,0.00027500,49.9443,R2
458,时代,0.00027500,49.9718,R2
459,电话,0.00027500,49.9993,R2
460,能力,0.00027500,50.0268,R2
461,艺术,0.00027500,50.0543,R2
462,解决,0.00027500,50.0818,R2
463,马,0.00027500,50.1093,R2
464,传统,0.00026900,50.1362,R2
465,全球,0.00026900,50.1631,R2
466,其实,0.00026900,50.1900,R2
467,机会,0.00026900,50.2169,R2
468,独立,0.00026900,50.2438,R2
469,美,0.00026900,50.2707,R2
470,行,0.00026900,50.2976,R2
471,行为,0.00026900,50.3245,R2
472,超过,0.00026900,50.3514,R2
473,路,0.00026900,50.3783,R2
474,连,0.00026900,50.4052,R2
475,韩国,0.00026900,50.4321,R2
476,产生,0.00026300,50.4584,R2
477,人类,0.00026300,50.4847,R2
478,分析,0.00026300,50.5110,R2
479,制,0.00026300,50.5373,R2
480,各种,0.00026300,50.5636,R2
481,告诉,0.00026300,50.5899,R2
482,它们,0.00026300,50.6162,R2
483,手机,0.00026300,50.6425,R2
484,投资,0.00026300,50.6688,R2
485,拿,0.00026300,50.6951,R2
486,期间,0.00026300,50.7214,R2
487,法国,0.00026300,50.7477,R2
488,目标,0.00026300,50.7740,R2
489,真正,0.00026300,50.8003,R2
490,调查,0.00026300,50.8266,R2
491,世纪,0.00025700,50.8523,R2
492,严重,0.00025700,50.8780,R2
493,仍,0.00025700,50.9037,R2
494,军,0.00025700,50.9294,R2
495,同,0.00025700,50.9551,R2
496,哪,0.00025700,50.9808,R2
497,增加,0.00025700,51.0065,R2
498,帮助,0.00025700,51.0322,R2
499,并且,0.00025700,51.0579,R2
500,行动,0.00025700,51.0836,R2
501,造成,0.00025700,51.1093,R2
502,of,0.00025100,51.1344,R2
503,作品,0.00025100,51.1595,R2
504,先,0.00025100,51.1846,R2
505,占,0.00025100,51.2097,R2
506,受到,0.00025100,51.2348,R2
507,台,0.00025100,51.2599,R2
508,基础,0.00025100,51.2850,R2
509,家庭,0.00025100,51.3101,R2
510,工业,0.00025100,51.3352,R2
511,杀,0.00025100,51.3603,R2
512,相信,0.00025100,51.3854,R2
513,第一,0.00025100,51.4105,R2
514,负责,0.00025100,51.4356,R2
515,二,0.00024500,51.4601,R2
516,住,0.00024500,51.4846,R2
517,具有,0.00024500,51.5091,R2
518,学,0.00024500,51.5336,R2
519,实现,0.00024500,51.5581,R2
520,怎样,0.00024500,51.5826,R2
521,据,0.00024500,51.6071,R2
522,控制,0.00024500,51.6316,R2
523,根本,0.00024500,51.6561,R2
524,男人,0.00024500,51.6806,R2
525,结束,0.00024500,51.7051,R2
526,非,0.00024500,51.7296,R2
527,t,0.00024000,51.7536,R2
528,书,0.00024000,51.7776,R2
529,亦,0.00024000,51.8016,R2
530,别,0.00024000,51.8256,R2
531,努力,0.00024000,51.8496,R2
532,只要,0.00024000,51.8736,R2
533,回,0.00024000,51.8976,R2
534,如此,0.00024000,51.9216,R2
535,媒体,0.00024000,51.9456,R2
536,才能,0.00024000,51.9696,R2
537,整个,0.00024000,51.9936,R2
538,来自,0.00024000,52.0176,R2
539,经过,0.00024000,52.0416,R2
540,群众,0.00024000,52.0656,R2
541,选举,0.00024000,52.0896,R2
542,以下,0.00023400,52.1130,R2
543,利用,0.00023400,52.1364,R2
544,制度,0.00023400,52.1598,R2
545,我国,0.00023400,52.1832,R2
546,欧洲,0.00023400,52.2066,R2
547,每个,0.00023400,52.2300,R2
548,比赛,0.00023400,52.2534,R2
549,表现,0.00023400,52.2768,R2
550,达到,0.00023400,52.3002,R2
551,主席,0.00022900,52.3231,R2
552,以上,0.00022900,52.3460,R2
553,以来,0.00022900,52.3689,R2
554,几个,0.00022900,52.3918,R2
555,办法,0.00022900,52.4147,R2
556,图片,0.00022900,52.4376,R2
557,年代,0.00022900,52.4605,R2
558,开发,0.00022900,52.4834,R2
559,心,0.00022900,52.5063,R2
560,成员,0.00022900,52.5292,R2
561,未来,0.00022900,52.5521,R2
562,讲,0.00022900,52.5750,R2
563,革命,0.00022900,52.5979,R2
564,价值,0.00022400,52.6203,R2
565,反,0.00022400,52.6427,R2
566,基本,0.00022400,52.6651,R2
567,导致,0.00022400,52.6875,R2
568,条,0.00022400,52.7099,R2
569,注意,0.00022400,52.7323,R2
570,的话,0.00022400,52.7547,R2
571,离开,0.00022400,52.7771,R2
572,送,0.00022400,52.7995,R2
573,除了,0.00022400,52.8219,R2
574,加入,0.00021900,52.8438,R2
575,反对,0.00021900,52.8657,R2
576,发布,0.00021900,52.8876,R2
577,啦,0.00021900,52.9095,R2
578,属于,0.00021900,52.9314,R2
579,建筑,0.00021900,52.9533,R2
580,形成,0.00021900,52.9752,R2
581,数据,0.00021900,52.9971,R2
582,版,0.00021900,53.0190,R2
583,行政,0.00021900,53.0409,R2
584,银行,0.00021900,53.0628,R2
585,音乐,0.00021900,53.0847,R2
586,0,0.00021400,53.1061,R2
587,之一,0.00021400,53.1275,R2
588,变化,0.00021400,53.1489,R2
589,增长,0.00021400,53.1703,R2
590,官方,0.00021400,53.1917,R2
591,德国,0.00021400,53.2131,R2
592,性,0.00021400,53.2345,R2
593,指,0.00021400,53.2559,R2
594,是不是,0.00021400,53.2773,R2
595,显示,0.00021400,53.2987,R2
596,经验,0.00021400,53.3201,R2
597,语言,0.00021400,53.3415,R2
598,and,0.00020900,53.3624,R2
599,专家,0.00020900,53.3833,R2
600,价格,0.00020900,53.4042,R2
601,医院,0.00020900,53.4251,R2
602,均,0.00020900,53.4460,R2
603,建议,0.00020900,53.4669,R2
604,怎么样,0.00020900,53.4878,R2
605,指出,0.00020900,53.5087,R2
606,期,0.00020900,53.5296,R2
607,权利,0.00020900,53.5505,R2
608,条件,0.00020900,53.5714,R2
609,来说,0.00020900,53.5923,R2
610,标准,0.00020900,53.6132,R2
611,法,0.00020900,53.6341,R2
612,说明,0.00020900,53.6550,R2
613,这次,0.00020900,53.6759,R2
614,部门,0.00020900,53.6968,R2
615,m,0.00020400,53.7172,R2
616,全,0.00020400,53.7376,R2
617,变,0.00020400,53.7580,R3
618,可是,0.00020400,53.7784,R3
619,改革,0.00020400,53.7988,R3
620,母亲,0.00020400,53.8192,R3
621,米,0.00020400,53.8396,R3
622,系列,0.00020400,53.8600,R3
623,联系,0.00020400,53.8804,R3
624,警察,0.00020400,53.9008,R3
625,记录,0.00020400,53.9212,R3
626,不仅,0.00020000,53.9412,R3
627,人物,0.00020000,53.9612,R3
628,共,0.00020000,53.9812,R3
629,别人,0.00020000,54.0012,R3
630,后来,0.00020000,54.0212,R3
631,女性,0.00020000,54.0412,R3
632,意见,0.00020000,54.0612,R3
633,执行,0.00020000,54.0812,R3
634,最高,0.00020000,54.1012,R3
635,机关,0.00020000,54.1212,R3
636,水,0.00020000,54.1412,R3
637,生,0.00020000,54.1612,R3
638,用户,0.00020000,54.1812,R3
639,确定,0.00020000,54.2012,R3
640,解释,0.00020000,54.2212,R3
641,中央,0.00019500,54.2407,R3
642,以前,0.00019500,54.2602,R3
643,俄罗斯,0.00019500,54.2797,R3
644,先生,0.00019500,54.2992,R3
645,关注,0.00019500,54.3187,R3
646,分别,0.00019500,54.3382,R3
647,区域,0.00019500,54.3577,R3
648,工程,0.00019500,54.3772,R3
649,父亲,0.00019500,54.3967,R3
650,理论,0.00019500,54.4162,R3
651,简单,0.00019500,54.4357,R3
652,结构,0.00019500,54.4552,R3
653,综合,0.00019500,54.4747,R3
654,老师,0.00019500,54.4942,R3
655,讨论,0.00019500,54.5137,R3
656,证明,0.00019500,54.5332,R3
657,采用,0.00019500,54.5527,R3
658,in,0.00019100,54.5718,R3
659,一位,0.00019100,54.5909,R3
660,不到,0.00019100,54.6100,R3
661,儿子,0.00019100,54.6291,R3
662,全部,0.00019100,54.6482,R3
663,公开,0.00019100,54.6673,R3
664,发表,0.00019100,54.6864,R3
665,宣布,0.00019100,54.7055,R3
666,当地,0.00019100,54.7246,R3
667,最近,0.00019100,54.7437,R3
668,派,0.00019100,54.7628,R3
669,社区,0.00019100,54.7819,R3
670,自然,0.00019100,54.8010,R3
671,那里,0.00019100,54.8201,R3
672,今年,0.00018600,54.8387,R3
673,介绍,0.00018600,54.8573,R3
674,以为,0.00018600,54.8759,R3
675,功能,0.00018600,54.8945,R3
676,坚持,0.00018600,54.9131,R3
677,学院,0.00018600,54.9317,R3
678,意思,0.00018600,54.9503,R3
679,找到,0.00018600,54.9689,R3
680,提高,0.00018600,54.9875,R3
681,搞,0.00018600,55.0061,R3
682,范围,0.00018600,55.0247,R3
683,车,0.00018600,55.0433,R3
684,b,0.00018200,55.0615,R3
685,例如,0.00018200,55.0797,R3
686,共同,0.00018200,55.0979,R3
687,农业,0.00018200,55.1161,R3
688,力量,0.00018200,55.1343,R3
689,原,0.00018200,55.1525,R3
690,取得,0.00018200,55.1707,R3
691,同样,0.00018200,55.1889,R3
692,土地,0.00018200,55.2071,R3
693,实施,0.00018200,55.2253,R3
694,手,0.00018200,55.2435,R3
695,旅游,0.00018200,55.2617,R3
696,正式,0.00018200,55.2799,R3
697,民族,0.00018200,55.2981,R3
698,类,0.00018200,55.3163,R3
699,级,0.00018200,55.3345,R3
700,组成,0.00018200,55.3527,R3
701,i,0.00017800,55.3705,R3
702,一天,0.00017800,55.3883,R3
703,些,0.00017800,55.4061,R3
704,保证,0.00017800,55.4239,R3
705,健康,0.00017800,55.4417,R3
706,场,0.00017800,55.4595,R3
707,大量,0.00017800,55.4773,R3
708,实际,0.00017800,55.4951,R3
709,容易,0.00017800,55.5129,R3
710,开放,0.00017800,55.5307,R3
711,持续,0.00017800,55.5485,R3
712,权力,0.00017800,55.5663,R3
713,永远,0.00017800,55.5841,R3
714,消息,0.00017800,55.6019,R3
715,然而,0.00017800,55.6197,R3
716,电视,0.00017800,55.6375,R3
717,看看,0.00017800,55.6553,R3
718,精神,0.00017800,55.6731,R3
719,考虑,0.00017800,55.6909,R3
720,重点,0.00017800,55.7087,R3
721,位于,0.00017400,55.7261,R3
722,免费,0.00017400,55.7435,R3
723,印度,0.00017400,55.7609,R3
724,变成,0.00017400,55.7783,R3
725,另外,0.00017400,55.7957,R3
726,型,0.00017400,55.8131,R3
727,声音,0.00017400,55.8305,R3
728,女儿,0.00017400,55.8479,R3
729,妈妈,0.00017400,55.8653,R3
730,应用,0.00017400,55.8827,R3
731,想要,0.00017400,55.9001,R3
732,按,0.00017400,55.9175,R3
733,明白,0.00017400,55.9349,R3
734,最终,0.00017400,55.9523,R3
735,汽车,0.00017400,55.9697,R3
736,相当,0.00017400,55.9871,R3
737,空间,0.00017400,56.0045,R3
738,线,0.00017400,56.0219,R3
739,终于,0.00017400,56.0393,R3
740,美元,0.00017400,56.0567,R3
741,设备,0.00017400,56.0741,R3
742,足球,0.00017400,56.0915,R3
743,里面,0.00017400,56.1089,R3
744,领域,0.00017400,56.1263,R3
745,产业,0.00017000,56.1433,R3
